#VALUE!,අකුර ඇකඩමි,,,,,,,,,,,,
ඔබ විසින් සකස් කරන ප්‍රශ්න සහ උත්තර පහත පරිදි සම්පූර්ණ කොට එවීමට කාරුණික වන්න.,,,,,විෂය- සිංහල/ විද්‍යාව,,අංශය - උසස් පෙළ / සාමාන්‍ය පෙළ,,,නම - ඒ. කේ. කුමාර (ඔබේ නම),,දු.ක.අං - ,ඊමේලය - 
Q347,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q348,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q349,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q350,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q351,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q352,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q353,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q354,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q355,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q356,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q357,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q358,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q359,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q360,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q361,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q362,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q363,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q364,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q365,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q366,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q367,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q368,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q369,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q370,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q371,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q372,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q373,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q374,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q375,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q376,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q377,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q378,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q379,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q380,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q381,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q382,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q383,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q384,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q385,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q386,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q387,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q388,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q389,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q390,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q391,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q392,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q393,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q394,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q395,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q396,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q397,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q398,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q399,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q400,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q401,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q402,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q403,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q404,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q405,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q406,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q407,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q408,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q409,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q410,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q411,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q412,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q413,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q414,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q415,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q416,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q417,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q418,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q419,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q420,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q421,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q422,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q423,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q424,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q425,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q426,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q427,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q428,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q429,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q430,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q431,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q432,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q433,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q434,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q435,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q436,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q437,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q438,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q439,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q440,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q441,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q442,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q443,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q444,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q445,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q446,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q447,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q448,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q449,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q450,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q451,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q452,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q453,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q454,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q455,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q456,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q457,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q458,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q459,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q460,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q461,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q462,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q463,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q464,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q465,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q466,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q467,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q468,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q469,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q470,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q471,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q472,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q473,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q474,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q475,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q476,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q477,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q478,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q479,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q480,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q481,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q482,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q483,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q484,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q485,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q486,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q487,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q488,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q489,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q490,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q491,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q492,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q493,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q494,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q495,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q496,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q497,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q498,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q499,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q500,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q501,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q502,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q503,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q504,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q505,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q506,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q507,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q508,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q509,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q510,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q511,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q512,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q513,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q514,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q515,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q516,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q517,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q518,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q519,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q520,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q521,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q522,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q523,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q524,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q525,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q526,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q527,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q528,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q529,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q530,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q531,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q532,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q533,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q534,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q535,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q536,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q537,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q538,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q539,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q540,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q541,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q542,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q543,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q544,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q545,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q546,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q547,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q548,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q549,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q550,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q551,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q552,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q553,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q554,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q555,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q556,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q557,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q558,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q559,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q560,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q561,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q562,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q563,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q564,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q565,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q566,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q567,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q568,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q569,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q570,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q571,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q572,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q573,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q574,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q575,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q576,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q577,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q578,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q579,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q580,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q581,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q582,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q583,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q584,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q585,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q586,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q587,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q588,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q589,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q590,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q591,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q592,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q593,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q594,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q595,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q596,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q597,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q598,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q599,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q600,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q601,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q602,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q603,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q604,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q605,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q606,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q607,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q608,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q609,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q610,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q611,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q612,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q613,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q614,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q615,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q616,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q617,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q618,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q619,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q620,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q621,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q622,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q623,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q624,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q625,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q626,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q627,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q628,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q629,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q630,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q631,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q632,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q633,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q634,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q635,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q636,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q637,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q638,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q639,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q640,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q641,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q642,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q643,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q644,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q645,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q646,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q647,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q648,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q649,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q650,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q651,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q652,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q653,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q654,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q655,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q656,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q657,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q658,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q659,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q660,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q661,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q662,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q663,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q664,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q665,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q666,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q667,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q668,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q669,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q670,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q671,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q672,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q673,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q674,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q675,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q676,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q677,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q678,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q679,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q680,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q681,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q682,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q683,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q684,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q685,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q686,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q687,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q688,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q689,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q690,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q691,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q692,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q693,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q694,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q695,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q696,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q697,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q698,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q699,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q700,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q701,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q702,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q703,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q704,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q705,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q706,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q707,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q708,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
